FlID,FlightDate,Departure,Arrival,Aircraft,NetFare
45,2024-08-22 13:00:00,2024-08-22 13:00:00,2024-08-22 17:00:00,AC003,41
46,2024-06-02 09:00:00,2024-06-02 09:00:00,2024-06-02 19:00:00,AC001,20
47,2024-06-18 17:00:00,2024-06-18 17:00:00,2024-06-19 02:00:00,AC007,31
48,2025-10-25 21:00:00,2025-10-25 21:00:00,2025-10-25 23:00:00,AC010,15
49,2025-01-04 11:00:00,2025-01-04 11:00:00,2025-01-04 13:00:00,AC009,8
50,2025-06-20 02:00:00,2025-06-20 02:00:00,2025-06-20 03:00:00,AC009,8
51,2025-03-03 06:00:00,2025-03-03 06:00:00,2025-03-03 14:00:00,AC001,3
52,2025-03-04 18:00:00,2025-03-04 18:00:00,2025-03-04 19:00:00,AC010,3
53,2025-02-19 13:00:00,2025-02-19 13:00:00,2025-02-19 22:00:00,AC005,23
54,2024-06-18 23:00:00,2024-06-18 23:00:00,2024-06-19 08:00:00,AC005,43
55,2024-07-18 10:00:00,2024-07-18 10:00:00,2024-07-18 11:00:00,AC008,2
56,2025-07-16 20:00:00,2025-07-16 20:00:00,2025-07-16 21:00:00,AC010,11
57,2024-06-19 08:00:00,2024-06-19 08:00:00,2024-06-19 18:00:00,AC008,7
58,2025-01-02 15:00:00,2025-01-02 15:00:00,2025-01-02 20:00:00,AC009,16
59,2024-08-15 08:00:00,2024-08-15 08:00:00,2024-08-15 17:00:00,AC005,10
60,2025-01-01 16:00:00,2025-01-01 16:00:00,2025-01-01 20:00:00,AC005,40
61,2024-04-19 04:00:00,2024-04-19 04:00:00,2024-04-19 07:00:00,AC002,26
62,2024-06-12 04:00:00,2024-06-12 04:00:00,2024-06-12 12:00:00,AC010,5
63,2024-11-03 05:00:00,2024-11-03 05:00:00,2024-11-03 07:00:00,AC003,43
64,2025-11-01 01:00:00,2025-11-01 01:00:00,2025-11-01 05:00:00,AC007,35
65,2024-07-04 10:00:00,2024-07-04 10:00:00,2024-07-04 20:00:00,AC009,41
66,2025-06-10 17:00:00,2025-06-10 17:00:00,2025-06-10 19:00:00,AC002,35
67,2025-01-24 08:00:00,2025-01-24 08:00:00,2025-01-24 18:00:00,AC004,24
68,2024-08-13 21:00:00,2024-08-13 21:00:00,2024-08-14 05:00:00,AC003,31
69,2024-08-07 14:00:00,2024-08-07 14:00:00,2024-08-08 00:00:00,AC004,15
70,2025-06-18 06:00:00,2025-06-18 06:00:00,2025-06-18 14:00:00,AC004,35
71,2024-07-07 06:00:00,2024-07-07 06:00:00,2024-07-07 07:00:00,AC001,17
72,2025-10-06 16:00:00,2025-10-06 16:00:00,2025-10-07 02:00:00,AC002,32
73,2025-11-21 14:00:00,2025-11-21 14:00:00,2025-11-21 18:00:00,AC003,42
74,2024-01-25 05:00:00,2024-01-25 05:00:00,2024-01-25 08:00:00,AC001,1
75,2024-10-05 11:00:00,2024-10-05 11:00:00,2024-10-05 18:00:00,AC001,22
76,2024-04-02 16:00:00,2024-04-02 16:00:00,2024-04-02 23:00:00,AC007,39
77,2025-10-21 15:00:00,2025-10-21 15:00:00,2025-10-21 17:00:00,AC010,20
78,2024-03-08 23:00:00,2024-03-08 23:00:00,2024-03-09 09:00:00,AC006,37
79,2025-10-19 01:00:00,2025-10-19 01:00:00,2025-10-19 05:00:00,AC007,23
80,2025-07-23 22:00:00,2025-07-23 22:00:00,2025-07-24 05:00:00,AC004,18
81,2025-09-11 09:00:00,2025-09-11 09:00:00,2025-09-11 17:00:00,AC001,21
82,2024-11-27 18:00:00,2024-11-27 18:00:00,2024-11-27 21:00:00,AC008,1
83,2024-05-17 02:00:00,2024-05-17 02:00:00,2024-05-17 04:00:00,AC006,9
84,2025-12-04 21:00:00,2025-12-04 21:00:00,2025-12-05 02:00:00,AC007,30
85,2025-04-12 21:00:00,2025-04-12 21:00:00,2025-04-13 03:00:00,AC001,25
86,2024-12-18 22:00:00,2024-12-18 22:00:00,2024-12-19 00:00:00,AC005,3
87,2024-03-14 05:00:00,2024-03-14 05:00:00,2024-03-14 15:00:00,AC004,43
88,2024-12-27 06:00:00,2024-12-27 06:00:00,2024-12-27 15:00:00,AC002,40
89,2025-06-09 09:00:00,2025-06-09 09:00:00,2025-06-09 17:00:00,AC009,17
90,2025-06-21 04:00:00,2025-06-21 04:00:00,2025-06-21 05:00:00,AC009,2
91,2025-08-01 15:00:00,2025-08-01 15:00:00,2025-08-02 01:00:00,AC003,24
92,2024-08-22 09:00:00,2024-08-22 09:00:00,2024-08-22 19:00:00,AC001,47
93,2024-05-11 19:00:00,2024-05-11 19:00:00,2024-05-12 01:00:00,AC006,23
94,2025-01-25 05:00:00,2025-01-25 05:00:00,2025-01-25 06:00:00,AC010,34
95,2024-02-27 00:00:00,2024-02-27 00:00:00,2024-02-27 01:00:00,AC005,41
96,2024-01-22 18:00:00,2024-01-22 18:00:00,2024-01-23 00:00:00,AC010,20
97,2025-05-27 01:00:00,2025-05-27 01:00:00,2025-05-27 08:00:00,AC002,31
98,2025-07-06 01:00:00,2025-07-06 01:00:00,2025-07-06 05:00:00,AC001,15
99,2025-07-14 15:00:00,2025-07-14 15:00:00,2025-07-14 17:00:00,AC005,8
100,2024-08-13 11:00:00,2024-08-13 11:00:00,2024-08-13 21:00:00,AC001,8
101,2025-04-15 18:00:00,2025-04-15 18:00:00,2025-04-15 23:00:00,AC001,32
102,2025-05-08 18:00:00,2025-05-08 18:00:00,2025-05-08 23:00:00,AC001,14
103,2025-07-10 18:00:00,2025-07-10 18:00:00,2025-07-10 23:00:00,AC007,27
104,2025-08-12 18:00:00,2025-08-12 18:00:00,2025-08-12 23:00:00,AC007,14
105,2025-09-14 18:00:00,2025-09-14 18:00:00,2025-09-14 23:00:00,AC008,4
106,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC006,29
107,2024-12-05 18:00:00,2024-12-05 18:00:00,2024-12-05 23:00:00,AC006,16
108,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC007,23
109,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC007,8
110,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC008,17
111,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC008,14
112,2024-12-05 18:00:00,2024-12-05 18:00:00,2024-12-05 23:00:00,AC007,28
113,2024-12-05 18:00:00,2024-12-05 18:00:00,2024-12-05 23:00:00,AC001,34
114,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC008,9
115,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC008,9
116,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC001,3
117,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC001,3
118,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC001,9
119,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC008,22
120,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC001,41
121,2024-12-05 18:00:00,2024-12-05 18:00:00,2024-12-05 23:00:00,AC001,36
122,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC001,3
123,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC007,21
124,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC007,3
125,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC008,7
126,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC008,5
127,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC001,22
128,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC007,24
129,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC006,46
130,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC008,34
131,2024-12-05 18:00:00,2024-12-05 18:00:00,2024-12-05 23:00:00,AC007,11
132,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC001,11
133,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC001,9
134,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC008,49
135,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC007,36
136,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC001,1
137,2024-12-05 18:00:00,2024-12-05 18:00:00,2024-12-05 23:00:00,AC001,41
138,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC007,3
139,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC007,12
140,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC006,18
141,2024-12-05 18:00:00,2024-12-05 18:00:00,2024-12-05 23:00:00,AC001,48
142,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC008,17
143,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC007,27
144,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC007,41
145,2024-12-05 18:00:00,2024-12-05 18:00:00,2024-12-05 23:00:00,AC008,28
146,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC006,13
147,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC006,28
148,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC007,15
149,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC007,47
150,2024-12-05 18:00:00,2024-12-05 18:00:00,2024-12-05 23:00:00,AC007,13
151,2024-12-05 18:00:00,2024-12-05 18:00:00,2024-12-05 23:00:00,AC008,20
152,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC001,14
153,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC006,4
154,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC006,47
155,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC006,8
156,2024-12-05 18:00:00,2024-12-05 18:00:00,2024-12-05 23:00:00,AC001,48
157,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC001,30
158,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC007,9
159,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC001,5
160,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC008,28
161,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC006,33
162,2024-12-05 18:00:00,2024-12-05 18:00:00,2024-12-05 23:00:00,AC007,48
163,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC007,17
164,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC008,31
165,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC006,29
166,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC008,12
167,2024-12-05 18:00:00,2024-12-05 18:00:00,2024-12-05 23:00:00,AC001,26
168,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC001,33
169,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC001,35
170,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC001,2
171,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC006,45
172,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC006,42
173,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC007,14
174,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC007,48
175,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC008,35
176,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC001,43
177,2024-12-05 18:00:00,2024-12-05 18:00:00,2024-12-05 23:00:00,AC007,49
178,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC007,2
179,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC007,5
180,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC001,18
181,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC008,25
182,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC006,3
183,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC007,49
184,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC001,7
185,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC001,34
186,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC006,27
187,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC008,49
188,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC006,42
189,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC008,37
190,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC008,34
191,2024-12-05 18:00:00,2024-12-05 18:00:00,2024-12-05 23:00:00,AC001,48
192,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC006,30
193,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC008,37
194,2024-12-05 18:00:00,2024-12-05 18:00:00,2024-12-05 23:00:00,AC008,10
195,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC007,17
196,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC007,15
197,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC008,34
198,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC001,25
199,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC007,26
200,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC006,36
201,2024-12-06 18:00:00,2024-12-06 18:00:00,2024-12-06 23:00:00,AC008,32
202,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC007,6
203,2024-12-04 18:00:00,2024-12-04 18:00:00,2024-12-04 23:00:00,AC001,47
204,2024-12-07 18:00:00,2024-12-07 18:00:00,2024-12-07 23:00:00,AC007,29
205,2024-12-08 18:00:00,2024-12-08 18:00:00,2024-12-08 23:00:00,AC001,41
