TsID,BookingDate,DepartureDate,Passenger,Flight,Type,Employee,Charges,Discount
25,2024-02-22 00:00:00,2024-03-11 00:00:00,61,46,1,19,4,7
26,2024-06-23 00:00:00,2024-06-06 00:00:00,21,40,1,74,41,8
27,2024-04-22 00:00:00,2024-12-19 00:00:00,40,24,0,60,39,15
28,2024-04-05 00:00:00,2024-01-10 00:00:00,59,46,1,47,2,36
29,2024-05-11 00:00:00,2024-12-20 00:00:00,43,6,1,98,49,26
30,2024-09-23 00:00:00,2024-11-10 00:00:00,3,42,1,46,16,36
31,2024-12-23 00:00:00,2024-12-09 00:00:00,4,18,1,17,28,38
32,2024-06-04 00:00:00,2024-05-19 00:00:00,69,26,0,88,41,39
33,2024-09-10 00:00:00,2024-10-03 00:00:00,74,17,0,72,20,13
34,2024-02-06 00:00:00,2024-04-10 00:00:00,97,7,0,68,46,35
35,2024-07-18 00:00:00,2024-06-14 00:00:00,6,36,0,96,7,34
36,2024-04-21 00:00:00,2024-11-11 00:00:00,52,7,0,79,20,32
37,2024-07-30 00:00:00,2024-11-11 00:00:00,38,1,0,80,38,19
38,2024-03-30 00:00:00,2024-06-16 00:00:00,23,15,0,6,36,27
39,2024-11-12 00:00:00,2024-12-30 00:00:00,80,14,1,36,21,1
40,2024-03-28 00:00:00,2024-01-30 00:00:00,44,27,1,18,43,2
41,2024-07-14 00:00:00,2024-06-13 00:00:00,39,5,1,89,42,28
42,2024-06-05 00:00:00,2024-10-04 00:00:00,97,20,0,15,26,17
43,2024-09-27 00:00:00,2024-07-18 00:00:00,4,49,1,55,38,38
44,2024-02-20 00:00:00,2024-05-26 00:00:00,92,44,0,7,2,5
45,2024-03-21 00:00:00,2024-12-16 00:00:00,79,31,0,21,14,33
46,2024-01-08 00:00:00,2024-12-04 00:00:00,10,30,1,78,24,43
47,2024-01-10 00:00:00,2024-01-02 00:00:00,69,30,1,10,35,38
48,2024-06-30 00:00:00,2024-03-23 00:00:00,8,34,0,34,48,41
49,2024-01-23 00:00:00,2024-01-05 00:00:00,44,47,1,100,7,36
50,2024-10-03 00:00:00,2024-08-07 00:00:00,60,25,1,25,35,35
51,2024-12-20 00:00:00,2024-01-21 00:00:00,16,3,0,17,12,48
52,2024-01-25 00:00:00,2024-12-23 00:00:00,96,27,0,86,22,23
53,2024-02-09 00:00:00,2024-04-22 00:00:00,15,42,0,37,25,4
54,2024-02-08 00:00:00,2024-09-09 00:00:00,99,30,0,45,9,17
55,2024-04-15 00:00:00,2024-10-10 00:00:00,19,10,0,4,48,44
56,2024-02-10 00:00:00,2024-05-29 00:00:00,74,43,1,26,18,28
57,2024-10-29 00:00:00,2024-11-18 00:00:00,54,35,0,2,20,31
58,2024-06-11 00:00:00,2024-09-18 00:00:00,60,21,1,68,10,3
59,2024-12-03 00:00:00,2024-08-20 00:00:00,12,4,0,58,7,20
60,2024-01-30 00:00:00,2024-10-21 00:00:00,45,30,1,38,2,33
61,2024-01-09 00:00:00,2024-06-15 00:00:00,29,22,1,87,45,19
62,2024-08-11 00:00:00,2024-09-14 00:00:00,34,44,1,98,28,16
63,2024-02-07 00:00:00,2024-08-28 00:00:00,98,17,1,81,9,41
64,2024-09-13 00:00:00,2024-02-21 00:00:00,24,17,0,71,36,45
65,2024-05-29 00:00:00,2024-10-29 00:00:00,69,9,0,93,47,18
66,2024-08-31 00:00:00,2024-12-06 00:00:00,85,36,1,39,29,29
67,2024-05-24 00:00:00,2024-11-29 00:00:00,84,42,1,12,10,38
68,2024-04-21 00:00:00,2024-07-27 00:00:00,57,32,1,40,33,30
69,2024-12-29 00:00:00,2024-02-21 00:00:00,21,46,0,51,45,40
70,2024-03-23 00:00:00,2024-01-14 00:00:00,65,21,0,91,21,2
71,2024-01-17 00:00:00,2024-04-10 00:00:00,52,32,0,10,45,9
72,2024-05-20 00:00:00,2024-07-21 00:00:00,37,6,0,50,30,36
73,2024-05-15 00:00:00,2024-05-28 00:00:00,94,4,0,48,9,13
74,2024-01-01 00:00:00,2024-12-18 00:00:00,90,12,0,73,36,30
75,2024-04-11 00:00:00,2024-04-20 00:00:00,21,13,0,78,35,25
76,2024-11-06 00:00:00,2024-02-24 00:00:00,91,16,1,53,49,15
77,2024-12-24 00:00:00,2024-05-22 00:00:00,53,6,0,77,40,18
78,2024-12-26 00:00:00,2024-03-26 00:00:00,45,5,1,63,38,14
79,2024-07-11 00:00:00,2024-04-22 00:00:00,21,32,1,34,45,35
80,2024-02-21 00:00:00,2024-12-18 00:00:00,56,38,0,94,18,12
81,2024-04-26 00:00:00,2024-08-16 00:00:00,56,3,1,22,22,22
82,2024-06-25 00:00:00,2024-03-31 00:00:00,34,35,0,72,49,43
83,2024-02-11 00:00:00,2024-12-29 00:00:00,90,1,1,37,20,32
84,2024-06-18 00:00:00,2024-11-12 00:00:00,30,20,1,83,37,16
85,2024-03-20 00:00:00,2024-01-06 00:00:00,74,5,0,39,3,29
86,2024-02-28 00:00:00,2024-03-17 00:00:00,1,33,0,80,32,31
87,2024-02-18 00:00:00,2024-10-29 00:00:00,11,29,0,3,35,47
88,2024-05-10 00:00:00,2024-07-30 00:00:00,81,37,1,13,32,22
89,2024-07-20 00:00:00,2024-07-28 00:00:00,93,10,1,93,14,8
90,2024-06-22 00:00:00,2024-09-13 00:00:00,29,28,0,19,33,39
91,2024-01-28 00:00:00,2024-04-10 00:00:00,64,45,1,87,16,49
92,2024-06-09 00:00:00,2024-03-10 00:00:00,2,35,0,55,27,21
93,2024-07-24 00:00:00,2024-12-28 00:00:00,57,20,0,2,22,5
94,2024-05-15 00:00:00,2024-05-14 00:00:00,21,14,0,53,34,28
95,2024-06-06 00:00:00,2024-09-22 00:00:00,43,2,1,93,23,28
96,2024-12-28 00:00:00,2024-03-30 00:00:00,100,25,0,16,48,7
97,2024-09-26 00:00:00,2024-07-19 00:00:00,36,34,0,80,42,34
98,2024-02-13 00:00:00,2024-08-01 00:00:00,47,33,1,96,20,19
99,2024-04-24 00:00:00,2024-03-03 00:00:00,42,23,1,45,24,22
100,2024-05-29 00:00:00,2024-02-21 00:00:00,88,4,0,49,33,13
